controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
5.81,6.79,4.7,3.85,3.65,0.43,1.9,0.6,13.6,0.4,1.27,0.73,0.62,1.5,0.17,-0.25,0.4,0.35,11.03,0.24,0.04,1.55,0.3,0.11,0.06,28,10,13,1.84,0.13,0.4,4.63,15.36,1.5,3,0,0.27932411670802,17.36,84.82,0.6,62.4,1
6.56,6.05,3.64,3.41,4.02,0.39,3.4,0.61,18.08,0.14,1.63,0.68,0.57,2.24,0.13,-0.11,0.17,0.43,39.23,0.32,0.02,3.34,1.14,0.1,0.07,10,10,15,5.3,0.14,1.02,2.83,7.76,1.33,137,9,0.121813827076639,9.92,85.12,0.7,40.52,0.2
6.61,4.22,4.63,2.88,2.36,0.46,1.35,0.27,26.27,0.15,1.66,0.38,0.71,2.24,0.16,-0.11,0.41,0.33,46.75,0.17,0.04,2.35,0.81,0.11,0.09,15,10,9,5.83,0.09,0.31,5.15,5.95,0.67,70,4,0.184007937545651,9.78,68.88,0.93,40.08,0.6
5.41,5.84,5.84,2.23,4.42,0.38,3.79,0.54,9.03,0.17,0.83,0.64,0.63,1.91,0.13,-0.25,0.44,0.1,20.1,0.25,0.02,3.12,0.52,0.12,0.15,13,7,7,4.21,0.12,1.67,3.35,10.23,0.34,38,4,0.282654958074609,22.49,139.34,0.7,101.16,0.6
6.57,6.36,5.99,3.43,3.92,0.3,2.14,0.46,5.31,0.16,1.94,0.73,0.31,2.06,0.14,-0.26,0.15,0.47,32.04,0.32,0.04,2.98,1.18,0.06,0.13,16,9,0,2.21,0.06,0.66,3.93,5.74,0.94,3,5,0.150671341539194,26.42,170.63,0.71,134.08,1
3.26,6.96,4.38,2.59,2.51,0.39,4.77,0.43,34.98,0.45,1.3,0.39,0.73,2.67,0.15,-0.07,0.32,0.43,27.88,0.16,0.03,1.03,0.84,0.06,0.08,27,3,14,2.47,0.05,1.37,4.17,1.2,0.53,39,4,0.137167505397455,10.21,66.22,1.03,33.4,0.6
4.96,3.6,3.39,4.71,2.91,0.41,1.11,0.49,14.04,0.38,1.12,0.44,0.69,2.32,0.11,-0.25,0.05,0.39,15.88,0.24,0.03,0.88,0.15,0.05,0.08,23,8,12,3.2,0.05,1.63,3.25,2.08,0.64,0,0,0.171379775348811,14.47,85.19,0.59,62.96,1
6.06,5.39,3.11,1.25,2.76,0.45,2.79,0.68,5.67,0.41,0.86,0.46,0.51,2.64,0.1,-0.09,0.2,0.14,33.15,0.34,0.04,3.4,0.21,0.1,0.06,23,3,10,1.71,0.06,0.46,2.76,12.18,0.92,44,3,0.21152243338248,12.07,84.19,0.69,56.68,0.8
4.65,4.3,3.38,4.9,4.82,0.34,4.23,0.62,23.5,0.49,0.61,0.3,0.45,2.02,0.2,-0.15,0.35,0.26,40.72,0.28,0.02,2.92,1.22,0.13,0.13,27,9,1,4.41,0.13,0.43,5.62,2.85,1.49,59,6,0.151293210244665,11.71,87.37,0.8,52.04,0.6
4.77,6.98,4.08,3.9,2.94,0.47,4.61,0.59,27.21,0.35,1.89,0.63,0.66,2.9,0.1,-0.16,0.49,0.41,37.83,0.16,0.03,1.42,1.01,0.12,0.07,19,7,9,3.88,0.1,2,1.2,10.8,0.38,6,6,0.177297108291973,20.85,177.06,0.41,112.36,0.6
6.29,5.39,3.17,3.91,2.22,0.22,1.6,0.38,27.73,0.36,1.28,0.62,0.44,1.65,0.16,-0.19,0.35,0.2,32.19,0.31,0.04,2.37,0.12,0.14,0.14,14,4,6,2.65,0.11,0.73,2.82,9.04,1.06,60,8,0.695569716989935,29.2,173.66,0.79,126.44,0.4
5.28,4.58,4.59,1.51,1.66,0.3,4.02,0.39,15.75,0.43,1.08,0.55,0.43,3,0.2,-0.29,0.16,0.31,38.83,0.16,0.04,1.82,0.23,0.08,0.12,30,5,11,4.69,0.11,1.1,1.26,17.2,0.93,29,2,0.150795671319473,17.09,85.7,0.73,60.12,0.8
5.29,4.79,5.58,3.58,4.26,0.28,1.54,0.27,33.1,0.14,1.57,0.67,0.6,1.74,0.17,-0.16,0.39,0.23,14.05,0.22,0.02,1.54,0.62,0.07,0.13,18,8,3,1.56,0.04,1.29,5.11,2.22,1.41,0,0,0.202745169578545,14.42,62.98,0.56,45.32,1
